CustomerID,FirstName,LastName,Phone,Country,City,Rate,MonyTransfere,Email
2000,abdullah,zakaria,5962910242,Saudi Arabia,Jeddah,7,Debt Card,a.zakaria@email.com
2001,baraa,abazid,5092304617,Syria,Ath Thawrah,5,Hawala,b.abazid@email.com
2002,abdul,surprise,5334071782,Iraq,Irbil,4,Debt Card,a.surprise@email.com
2003,dima,darwish,5415618249,United Arab Emirates,Dubai,2,Hawala,d.darwish@email.com
2004,rene,khouri,5017329612,Iraq,An Najaf,4,Hawala,r.khouri@email.com
2005,ruba,feast,5212527451,Saudi Arabia,Al-Qatif,4,Hawala,r.feast@email.com
2006,thaer,hamouda,5432640952,Syria,Ath Thawrah,10,Master Card,t.hamouda@email.com
2007,protoplasm,sulaiman,5888241131,Iraq,Irbil,8,Western Union,p.sulaiman@email.com
2008,sarah,haidar,5431039881,Syria,Ath Thawrah,6,Hawala,s.haidar@email.com
2009,mohamed,lameni,5687467766,Saudi Arabia,Al Wajh,4,Hawala,m.lameni@email.com
2010,salam,khatib,5728317763,Egypt,Cairo,2,Western Union,s.khatib@email.com
2011,basema,recluse,5426548291,United Arab Emirates,Dubai,5,Debt Card,b.recluse@email.com
2012,dürer,pigment,5556241655,Egypt,Siwa,10,Debt Card,d.pigment@email.com
2013,ola,abbasi,5590080035,Iraq,Irbil,4,Hawala,o.abbasi@email.com
2014,rmr,hammadi,5865953529,Iraq,An Najaf,10,Hawala,r.hammadi@email.com
2015,vivian,carson,5405319766,Saudi Arabia,Al Mubarraz,5,Debt Card,v.carson@email.com
2016,doaa,snow,5102332098,Syria,Aleppo,7,Hawala,d.snow@email.com
2017,fadi,munoz,5941442593,Syria,Damascus,8,Hawala,f.munoz@email.com
2018,ali,briggs,5186732235,Syria,Damascus,8,Hawala,a.briggs@email.com
2019,parents,david,5958295804,United Arab Emirates,Dubai,10,Hawala,p.david@email.com
2020,ayham,russo,5638655829,United Arab Emirates,Abu Dhabi,10,Western Union,a.russo@email.com
2021,sandra,gilliam,5942145850,Syria,Damascus,5,Debt Card,s.gilliam@email.com
2022,omar,bass,5783436037,Egypt,El Mansura,10,Hawala,o.bass@email.com
2023,joumana,prince,5622766321,Egypt,El Mansura,6,Master Card,j.prince@email.com
2024,ibrahim,ferguson,5973389614,Syria,Ar Raqqah,6,Master Card,i.ferguson@email.com
2025,rania,guthrie,5358625113,United Arab Emirates,Al Fujayrah,6,Hawala,r.guthrie@email.com
2026,samir,vleon,5634625143,Syria,Damascus,9,Debt Card,s.vleon@email.com
2027,mohamed,tammam,5260257292,Syria,Aleppo,5,Western Union,m.tammam@email.com
2028,sami,tendon,5794501425,Syria,Damascus,9,Hawala,s.tendon@email.com
2029,abdul,shehadeh,5893910357,Iraq,Irbil,7,Hawala,a.shehadeh@email.com
2030,mohammed,tutunge,5388626640,United Arab Emirates,Dubai,3,Hawala,m.tutunge@email.com
2031,firas,jermghani,5219168540,Egypt,Siwa,7,Debt Card,f.jermghani@email.com
2032,basset,kahlous,5602668989,United Arab Emirates,Ras al Khaymah,5,Debt Card,b.kahlous@email.com
2033,david,hajos,5126953982,Iraq,Irbil,2,Hawala,d.hajos@email.com
2034,hanan,alkotaih,5694964918,Egypt,Cairo,7,Master Card,h.alkotaih@email.com
2035,mohammed,khallouf,5134140889,United Arab Emirates,Dubai,9,Master Card,m.khallouf@email.com
2036,ahmed,safadi,5028208586,Egypt,El Mansura,3,Debt Card,a.safadi@email.com
2037,karam,soliman,5457361050,United Arab Emirates,Dubai,2,Western Union,k.soliman@email.com
2038,ahmed,khoja,5991741552,Iraq,Irbil,1,Hawala,a.khoja@email.com
2039,hossam,wahab,5633478717,Saudi Arabia,Al Quwayiyah,7,Western Union,h.wahab@email.com
2040,abdullah,saadat,5630193231,Iraq,Baghdad,4,Western Union,a.saadat@email.com
2041,ghalib,kream,5294618310,Saudi Arabia,Al Mubarraz,5,Hawala,g.kream@email.com
2042,zakaria,kahil,5852489329,United Arab Emirates,Al Fujayrah,2,Debt Card,z.kahil@email.com
2043,we,rama,5621138003,Syria,Damascus,2,Debt Card,w.rama@email.com
2044,salah,francis,5302588717,United Arab Emirates,`Ajman,5,Hawala,s.francis@email.com
2045,ibrahim,huffman,5779617030,Iraq,An Najaf,5,Master Card,i.huffman@email.com
2046,ali,wade,5002952247,Saudi Arabia,Al Jubayl,6,Debt Card,a.wade@email.com
2047,hossam,bolton,5784800621,Saudi Arabia,Al Kharj,3,Hawala,h.bolton@email.com
2048,abdul,hicks,5765827003,United Arab Emirates,Umm al Qaywayn,2,Hawala,a.hicks@email.com
2049,mohammed,ochoa,5466343696,United Arab Emirates,Dubai,4,Debt Card,m.ochoa@email.com
2050,rama,gill,5421378692,Saudi Arabia,Al-Hillah,8,Master Card,r.gill@email.com
2051,abdul,pollard,5819220241,Egypt,Hurghada,8,Debt Card,a.pollard@email.com
2052,salim,waller,5653281163,Syria,Al Ladhiqiyah,3,Debt Card,s.waller@email.com
2053,alaa,estes,5583613836,United Arab Emirates,Abu Dhabi,10,Hawala,a.estes@email.com
2054,amjad,lott,5919924138,Syria,Al Qunaytirah,6,Debt Card,a.lott@email.com
2055,doaa,stevens,5032749566,Saudi Arabia,Al Wajh,1,Hawala,d.stevens@email.com
2056,rania,salas,5027733663,Syria,Aleppo,9,Hawala,r.salas@email.com
2057,karim,copeland,5895290859,Syria,Al Qamishli,2,Hawala,k.copeland@email.com
2058,visions,evans,5545229237,Saudi Arabia,Riyadh,10,Debt Card,v.evans@email.com
2059,sarah,hooper,5990510836,Iraq,Irbil,4,Master Card,s.hooper@email.com
2060,reem,patton,5612164200,Saudi Arabia,Al Quwayiyah,9,Hawala,r.patton@email.com
2061,the,little,5028967076,United Arab Emirates,Abu Dhabi,5,Western Union,t.little@email.com
2062,louay,garrett,5899807747,Iraq,Baghdad,3,Hawala,l.garrett@email.com
2063,rima,porter,5631235982,Saudi Arabia,Al Hufuf,1,Debt Card,r.porter@email.com
2064,mohammed,mendez,5965428298,Saudi Arabia,Riyadh,4,Hawala,m.mendez@email.com
2065,ahmed,simpson,5749889382,Saudi Arabia,Al-Qatif,3,Hawala,a.simpson@email.com
2066,hassan,higgins,5881146928,United Arab Emirates,Dubai,3,Debt Card,h.higgins@email.com
2067,mohammed,dorsey,5178295274,Saudi Arabia,Riyadh,3,Hawala,m.dorsey@email.com
2068,hussain,rivera,5204041720,Iraq,Baghdad,10,Western Union,h.rivera@email.com
2069,jahan,robles,5179010653,Syria,Ath Thawrah,10,Hawala,j.robles@email.com
2070,iyad,rivers,5398663660,United Arab Emirates,`Ajman,7,Master Card,i.rivers@email.com
2071,majid,ruiz,5432193452,Iraq,An Najaf,2,Debt Card,m.ruiz@email.com
2072,ranim,duncan,5945080761,United Arab Emirates,Abu Dhabi,3,Hawala,r.duncan@email.com
2073,khaldoun,mathews,5858129940,Saudi Arabia,Al Mubarraz,1,Master Card,k.mathews@email.com
2074,tarek,gregory,5497827122,Saudi Arabia,Al Mubarraz,4,Western Union,t.gregory@email.com
2075,ayman,waters,5860169155,United Arab Emirates,Umm al Qaywayn,6,Western Union,a.waters@email.com
2076,khaled,baxter,5444272334,Egypt,Cairo,6,Western Union,k.baxter@email.com
2077,jamal,price,5442654943,United Arab Emirates,Sharjah,4,Hawala,j.price@email.com
2078,maria,finley,5525095196,Saudi Arabia,Al-Hillah,2,Western Union,m.finley@email.com
2079,moroccan,church,5620424326,Egypt,Cairo,5,Hawala,m.church@email.com
2080,ahmed,graves,5134075315,Saudi Arabia,Al Quwayiyah,2,Hawala,a.graves@email.com
2081,alicia,mullins,5276026101,Syria,Aleppo,3,Master Card,a.mullins@email.com
2082,saifuddin,fulton,5959988950,Syria,Damascus,2,Western Union,s.fulton@email.com
2083,princess,tanner,5965339000,Iraq,Baghdad,9,Hawala,p.tanner@email.com
2084,sari,richmond,5297169476,Saudi Arabia,Al-Hillah,3,Hawala,s.richmond@email.com
2085,jihad,mcknight,5751307653,Egypt,Cairo,5,Master Card,j.mcknight@email.com
2086,saadia,medina,5186944208,Syria,Ath Thawrah,3,Hawala,s.medina@email.com
2087,egyptian,nixon,5495664368,Syria,Al Qunaytirah,3,Debt Card,e.nixon@email.com
2088,thaer,maldonado,5011566178,Saudi Arabia,Riyadh,7,Hawala,t.maldonado@email.com
2089,bassam,garrison,5983131485,United Arab Emirates,Dubai,3,Master Card,b.garrison@email.com
2090,hazem,burton,5312863157,Saudi Arabia,Al Jubayl,4,Hawala,h.burton@email.com
2091,ammr,olson,5537870739,Saudi Arabia,Al-Hillah,1,Hawala,a.olson@email.com
2092,mohammed,blackwell,5059725793,Iraq,An Nasiriyah,4,Master Card,m.blackwell@email.com
2093,ayham,battle,5397710155,Egypt,Siwa,5,Hawala,a.battle@email.com
2094,ali,schroeder,5903811819,Saudi Arabia,Riyadh,10,Western Union,a.schroeder@email.com
2095,acemah,dominguez,5541011170,Egypt,El Mansura,8,Master Card,a.dominguez@email.com
2096,mohammed,dejesus,5083384083,Saudi Arabia,Al Hufuf,4,Hawala,m.dejesus@email.com
2097,raafat,carver,5940817291,United Arab Emirates,Dubai,7,Western Union,r.carver@email.com
2098,lana,mitchell,5890767802,Syria,Damascus,1,Hawala,l.mitchell@email.com
2099,kinda,lindsay,5029860976,Saudi Arabia,Al Quwayiyah,9,Master Card,k.lindsay@email.com
2100,tariq,bass,5814998524,Saudi Arabia,Riyadh,9,Hawala,t.bass@email.com
2101,mohammed,nieves,5942960868,Saudi Arabia,Al Kharj,1,Hawala,m.nieves@email.com
2102,hossam,macias,5449279492,United Arab Emirates,Dubai,2,Hawala,h.macias@email.com
2103,mohammed,burke,5843160199,Saudi Arabia,Al Hufuf,7,Master Card,m.burke@email.com
2104,spring,carr,5045886544,Saudi Arabia,Al Hufuf,2,Hawala,s.carr@email.com
2105,allow,terry,5434452474,Iraq,Baghdad,6,Western Union,a.terry@email.com
2106,mohammed,mcmillan,5820815329,Saudi Arabia,Al Kharj,9,Hawala,m.mcmillan@email.com
2107,bilal,cruz,5741820621,Iraq,Mosul,2,Hawala,b.cruz@email.com
2108,hanan,booth,5078086030,Syria,Ath Thawrah,8,Hawala,h.booth@email.com
2109,lubna,estes,5001989948,Iraq,Baghdad,6,Hawala,l.estes@email.com
2110,ferial,carr,5521099011,Syria,Aleppo,5,Western Union,f.carr@email.com
2111,aisha,orr,5980091054,Syria,Al Qunaytirah,8,Debt Card,a.orr@email.com
2112,ibrahim,kelly,5932167107,Saudi Arabia,Al-Hillah,3,Hawala,i.kelly@email.com
2113,lama,fry,5298894981,United Arab Emirates,`Ajman,7,Hawala,l.fry@email.com
2114,mohamed,jenkins,5975940030,Egypt,Suez,8,Debt Card,m.jenkins@email.com
2115,moammer,noble,5441848198,Saudi Arabia,Al Quwayiyah,6,Western Union,m.noble@email.com
2116,sandra,kim,5098630178,Saudi Arabia,Abha,8,Hawala,s.kim@email.com
2117,ahmed,buck,5747965263,Iraq,Mosul,2,Western Union,a.buck@email.com
2118,evelyn,melendez,5056162838,Saudi Arabia,Al Kharj,9,Debt Card,e.melendez@email.com
2119,george,ruiz,5148288954,Iraq,An Najaf,7,Master Card,g.ruiz@email.com
2120,hussein,phelps,5498934582,Saudi Arabia,Ad Damman,4,Hawala,h.phelps@email.com
2121,bilal,flores,5013918026,Syria,Al Qunaytirah,10,Master Card,b.flores@email.com
2122,madeleine,sanford,5508699569,Syria,Al Ladhiqiyah,10,Hawala,m.sanford@email.com
2123,powered,pennington,5514795052,Iraq,An Nasiriyah,3,Hawala,p.pennington@email.com
2124,mohammed,monroe,5965641548,Saudi Arabia,Al-Qatif,1,Hawala,m.monroe@email.com
2125,sherihan,moses,5074827197,Syria,Al Ladhiqiyah,4,Debt Card,s.moses@email.com
2126,ayham,velasquez,5741021934,Syria,Ath Thawrah,2,Hawala,a.velasquez@email.com
2127,mohammed,woods,5326803974,Iraq,An Najaf,8,Master Card,m.woods@email.com
2128,rowan,palmer,5451182204,Iraq,An Nasiriyah,3,Hawala,r.palmer@email.com
2129,mohammad,banks,5487006716,Syria,Damascus,7,Hawala,m.banks@email.com
2130,amer,jarvis,5327994350,Iraq,Baghdad,2,Hawala,a.jarvis@email.com
2131,samer,ruiz,5619887074,Iraq,Irbil,2,Hawala,s.ruiz@email.com
2132,amr,cantrell,5271096318,Saudi Arabia,Ad Damman,7,Debt Card,a.cantrell@email.com
